날짜,종목명,티커,기준모델,AI예측,확신도,핫키워드,뉴스판정,뉴스요약,뉴스출처,패턴판정,차트판정,핵심사유,뉴스수집성공,뉴스수집오류,비교모델,비교AI예측,비교확신도,비교핫키워드,비교뉴스판정,비교뉴스요약,비교뉴스출처,비교패턴판정,비교차트판정,비교핵심사유,비교뉴스수집성공,비교뉴스수집오류,종합예측,종합점수,대표뉴스키워드,대표뉴스요약,대표뉴스판정,대표뉴스모델,대표뉴스점수,모델일치도,뉴스중요도,종합사유
2026-04-20,삼진제약,000520,gemini-2.5-flash,▲ 상승,75,신약 개발,단순 기대감,"삼진제약은 최근 이대서울병원과 중추신경계 질환 신약 개발을 위한 전략적 업무협약(MOU)을 체결하고, 항암·폐동맥고혈압·희귀질환 전문의약품 사업부를 강화하며 고부가가치 포트폴리오로의 전환을 가속화하고 있다. 이는 제네릭 약가 인하 정책 및 수익성 둔화에 대한 선제적 대응 전략으로 풀이된다.","alphasquare.co.kr, medipana.com, bosa.co.kr",유사패턴 강세,혼조,"과거 유사 패턴에서 상승 예측이 우세하고 신약 개발 기대감이 단기 매수 심리를 자극할 수 있으나, 차트는 역배열 상태로 중장기 상승 추세 전환에는 제약이 따른다.",,,gemini-3-flash-preview,▲ 상승,72.0,AI 신약 개발 협업,단순 기대감,삼진제약은 외부 AI 신약 개발 플랫폼 기업과의 협업을 통해 파이프라인 발굴 및 연구 비용 효율화에 집중하고 있습니다. 마곡 연구센터를 중심으로 한 오픈 이노베이션 전략이 중장기적 성장 동력으로 작용할 것으로 전망됩니다.,출처 없음,유사패턴 강세,혼조,단기 20일선 지지 및 과거 유사 패턴의 높은 상승 확률이 긍정적이나 중기 역배열 저항과 실질적 성과가 결여된 뉴스 재료로 인해 신중한 접근이 필요함.,,,▲ 상승,75.0,,,,,,100.0,45.0,두 모델의 방향성이 일치하여 종합 신뢰도를 높게 반영함
2026-04-20,케이뱅크,272210,gemini-2.5-flash,▼ 하락,75,IPO 부진,실질 악재,"케이뱅크는 지난 3월 상장 후 공모가(8,300원) 대비 20% 이상 하락한 주가(6,300원대)를 기록 중이며, 이는 업비트 예치금 관련 이자 비용 증가로 인한 수익성 악화와 오버행 부담 때문으로 분석됩니다.","newsfield.net, daum.net, newstopkorea.com",유사패턴 약세,강세,"현재 차트는 강한 상승 추세를 보이지만, 실질 악재로 분류된 IPO 부진, 수익성 악화 및 오버행 부담이 과거 유사 패턴과 일치하며 단기적으로 주가 하방 압력으로 작용할 가능성이 높다.",,,gemini-3-flash-preview,━ 관망,62.0,IPO 재개,단순 기대감,케이뱅크가 역대 최대 실적을 바탕으로 유가증권시장(KOSPI) 상장을 위한 예비심사 청구 등 기업공개 절차를 재개했다. 업비트 의존도 탈피와 수익 구조 다변화를 통한 기업가치 제고가 향후 상장 흥행의 핵심 변수로 꼽힌다.,출처 없음,유사패턴 약세,강세,정배열의 기술적 우상향 추세는 유효하나 과거 유사 패턴의 하락 성향과 IPO 기대감에 따른 선반영 우려가 상충하여 신중한 접근이 요구된다.,,,▼ 하락,64.0,,,,,,50.0,65.0,한 모델이 관망 또는 약한 신호를 제시하여 중간 수준으로 반영함
2026-04-20,리얼티인컴,O,gemini-2.5-flash,▲ 상승,85,월배당,실질 호재,리얼티인컴은 670번째 연속 월 배당을 발표하고 2026년에 80억 달러 규모의 투자 목표를 제시하며 견고한 성장과 주주 환원을 지속할 계획이다.,"zacks.com, alphaview.kr, prnewswire.com",유사패턴 강세,강세,월배당 발표와 대규모 투자 계획이라는 실질 호재가 과거 유사 패턴의 강세 예측과 현재가가 주요 이동평균선 위에 위치한 차트 흐름과 일치하여 단기 상승 가능성이 높다.,,,gemini-3-flash-preview,▲ 상승,88.0,성장 가이던스 상향,실질 호재,670회 연속 월배당 지급을 발표하고 2026년 투자 목표를 80억 달러로 상향하며 공격적인 성장 가이드라인을 제시했습니다. 98.9%의 높은 점유율과 견조한 AFFO 성장을 바탕으로 안정적인 배당 수익 모델을 입증하고 있습니다.,출처 없음,유사패턴 강세,강세,공격적인 투자 목표 상향과 배당 지속성이 확인된 가운데 주가가 주요 이평선을 모두 돌파하며 하락 추세를 벗어나는 강한 반등 신호를 보이고 있다.,,,▲ 상승,91.0,,,,,,100.0,100.0,두 모델의 방향성이 일치하여 종합 신뢰도를 높게 반영함
2026-04-20,포스코DX,022100,gemini-2.5-flash,▲ 상승,80,AI Native Company 전환,실질 호재,"포스코DX는 '2026 스마트공장·자동화산업전'에서 AI 및 로봇 기반 산업현장 솔루션을 선보였으며, 국내 NPU 개발사에 투자하며 'AI Native Company'로의 전환을 가속화하고 있다.","poscodx.com, chosun.com, alphasquare.co.kr",유사패턴 강세,혼조,"AI Native Company 전환 가속화라는 실질 호재와 과거 유사 패턴의 상승 우세가 맞물려 단기 상승 모멘텀이 강화될 것으로 예상되나, 역배열 차트 구조는 상승 폭에 일정 부분 저항으로 작용할 수 있다.",,,gemini-3-flash-preview,▲ 상승,82.0,피지컬 AI 수주,실질 호재,"국산 NPU 전문기업 투자와 포스코 그룹향 1,880억 원 규모의 대규모 수주를 통해 로봇 및 AI 자동화 사업의 실질적 성과가 가시화되고 있습니다. 산업 현장 특화 AI 솔루션 도입으로 저마진 구조를 탈피하며 1분기 실적 턴어라운드와 중장기 성장 모멘텀을 확보했습니다.","hankyung.com, theitplus.kr, youtube.com",유사패턴 강세,혼조,"1,880억 원 규모의 대규모 수주와 1분기 실적 턴어라운드라는 강력한 실질 호재가 20일선 지지를 바탕으로 60일선 저항 돌파를 시도할 동력으로 작용할 전망이다.",,,▲ 상승,88.0,,,,,,100.0,100.0,두 모델의 방향성이 일치하여 종합 신뢰도를 높게 반영함
2026-04-20,카카오,035720,gemini-2.5-flash,▲ 상승,75,1분기 실적 개선,실질 호재,"카카오는 2026년 1분기 톡비즈를 중심으로 견조한 실적 개선이 예상되며, AI 및 글로벌 신사업을 성장 동력으로 삼아 그룹 전체의 효율성을 강화하고 있다.","pinpointnews.co.kr, mk.co.kr, mt.co.kr",유사패턴 강세,혼조,"견조한 1분기 실적 개선 예상이라는 실질 호재와 과거 패턴의 상승 우세가 단기적인 주가 상승을 지지하지만, 여전한 역배열 추세는 추가 상승에 대한 불확실성을 남긴다.",,,gemini-3-flash-preview,━ 관망,60.0,1분기 실적 불확실성,단순 기대감,REST 방식 뉴스 수집 실패,출처 없음,유사패턴 혼조,혼조,단기적으로 20일선을 상회하고 있으나 60일선 저항과 역배열 추세가 강하며 실질적인 뉴스 모멘텀이 부재하여 방향성 확인이 필요함,,,▲ 상승,64.0,,,,,,50.0,65.0,한 모델이 관망 또는 약한 신호를 제시하여 중간 수준으로 반영함
2026-04-21,삼성전자,005930,gemini-2.5-flash,▼ 하락,75,노조 파업,실질 악재,"삼성전자 노조가 5월 총파업을 예고했으며, 주요 외신들은 이번 파업이 전 세계 인공지능(AI) 반도체 공급망에 심각한 병목 현상을 초래할 수 있다고 경고했다.",chosun.com,유사패턴 강세,강세,"현재 강력한 정배열 상승 추세와 과거 패턴의 긍정적 경향에도 불구하고, AI 반도체 공급망에 심각한 병목 현상을 초래할 수 있는 노조 파업 예고는 단기적으로 주가에 상당한 하방 압력으로 작용할 것입니다.",Y,,gemini-3-flash-preview,▲ 상승,92.0,HBM4 양산,실질 호재,삼성전자가 엔비디아의 차세대 AI 가속기용 HBM4 품질 테스트를 최종 통과하고 본격적인 대규모 양산 공급을 시작했습니다. 이로써 AI 메모리 시장에서의 주도권을 회복하고 반도체 부문의 수익성이 크게 개선될 것으로 분석됩니다.,,유사패턴 강세,강세,엔비디아향 HBM4 공급이라는 실질적 호재가 이동평균선 정배열의 기술적 강세 및 과거 상승 패턴과 일치하여 강력한 추가 상승 모멘텀을 형성하고 있다.,Y,,━ 관망,65.0,의견 충돌,노조 파업 관련 악재와 HBM4 양산 관련 호재가 함께 존재해 단기 방향성 확인이 필요합니다.,혼재,conflict,0.0,0.0,70.0,두 모델의 방향성이 충돌하여 종합 판단을 보수적으로 반영함
2026-04-21,NVDA,NVDA,gemini-2.5-flash,▲ 상승,80,AI 기술 확장,실질 호재,"엔비디아는 양자 컴퓨팅용 오픈소스 AI 모델 'Ising'을 출시하고 AI 기반 제조 혁신 협력을 확대하며 AI 및 가속 컴퓨팅 리더십을 강화하고 있다. 또한, 차세대 AI 칩 'Vera Rubin'을 위한 메모리 양산이 시작되어 공급망을 강화한다.","nvidia.com, heygotrade.com",유사패턴 강세,강세,"현재가가 20일선과 60일선을 모두 상회하며 단기 강한 상승 모멘텀을 보이고 있고, 강력한 AI 기술 확장 관련 실질 호재와 과거 유사 패턴의 상승 우세 경향이 단기 상승을 지지한다.",Y,,gemini-3-flash-preview,▲ 상승,88.0,베라 루빈,실질 호재,"엔비디아가 세계 최초 오픈소스 양자 AI 모델 '아이싱'을 공개한 데 이어, 차세대 '베라 루빈' 플랫폼용 메모리 양산이 시작되며 차세대 아키텍처 전환에 속도를 내고 있습니다. 블랙웰 시리즈가 하이엔드 시장의 70%를 점유한 가운데 신규 성장 동력 확보로 실적 상향 기대감이 지속되고 있습니다.","communicationstoday.co.in, moomoo.com, futunn.com",유사패턴 강세,강세,차세대 플랫폼 베라 루빈의 본격적인 양산과 양자 AI 시장 선점이라는 실질적 호재가 역배열 하의 기술적 저항을 뚫고 주가를 이평선 상단으로 밀어올리는 강력한 추세 전환 신호를 보이고 있다.,Y,,▲ 상승,90.0,AI 기술 확장,"엔비디아는 양자 컴퓨팅용 오픈소스 AI 모델 'Ising'을 출시하고 AI 기반 제조 혁신 협력을 확대하며 AI 및 가속 컴퓨팅 리더십을 강화하고 있다. 또한, 차세대 AI 칩 'Vera Rubin'을 위한 메모리 양산이 시작되어 공급망을 강화한다.",실질 호재,gemini-2.5-flash,95.0,100.0,100.0,두 모델의 방향성이 일치하여 종합 신뢰도를 높게 반영함
2026-04-21,TSLA,TSLA,gemini-2.5-flash,▼ 하락,80,1분기 인도량 미달,실질 악재,테슬라의 2026년 1분기 차량 인도량이 시장 예상치(36만 8천903대)에 미달하는 35만 8천23대에 그치며 수요 둔화와 마진 압박 우려를 증폭시켰다.,"fool.com, heygotrade.com",유사패턴 강세,약세,"1분기 차량 인도량 미달이라는 실질 악재와 역배열 차트 구조가 단기 하방 압력을 가중시키는 가운데, 과거 패턴의 상승 예측은 신뢰도가 낮다.",Y,,gemini-3-flash-preview,━ 관망,62.0,60일선 저항,단순 기대감,,,유사패턴 혼조,약세,60일 이동평균선 돌파 실패 후 역배열 상태에서 하락세를 보이고 있으나 20일선 상단 지지 및 뚜렷한 뉴스 재료 부재로 추가 방향성 확인이 필요하다.,N,REST 방식 뉴스 수집 실패,▼ 하락,66.0,1분기 인도량 미달,테슬라의 2026년 1분기 차량 인도량이 시장 예상치(36만 8천903대)에 미달하는 35만 8천23대에 그치며 수요 둔화와 마진 압박 우려를 증폭시켰다.,실질 악재,gemini-2.5-flash,95.0,50.0,65.0,한 모델이 관망 또는 약한 신호를 제시하여 중간 수준으로 반영함
2026-04-21,AAPL,AAPL,gemini-2.5-flash,▲ 상승,78,CEO 교체,단순 기대감,애플은 9월 1일부로 팀 쿡이 이사회 의장으로 물러나고 존 터너스 하드웨어 엔지니어링 수석 부사장이 신임 CEO로 임명되는 리더십 전환을 발표했다.,"stocktitan.net, gurufocus.com, apple.com",유사패턴 강세,강세,"현재가가 20일선과 60일선을 상회하며 강한 상승 모멘텀을 보이고 있고, 과거 패턴과 신임 CEO에 대한 단순 기대감이 상승 전망을 지지한다.",Y,,gemini-3-flash-preview,━ 관망,62.0,인도 사법 리스크,실질 악재,"인도 경쟁당국(CCI)이 애플의 인앱 결제 강제 혐의와 관련해 최대 380억 달러 규모의 과징금 부과를 위한 최종 청문회를 5월로 앞당기며 사법 리스크가 본격화되었습니다. 애플의 재무 데이터 제출 거부로 당국과의 갈등이 심화되었으며, 실제 대규모 벌금 부과 시 글로벌 수익성에 타격이 불가피할 전망입니다.","tipranks.com, grafa.com, marketbeat.com",유사패턴 강세,혼조,기술적 지표와 과거 패턴은 상승 우위를 가리키고 있으나 인도 당국의 대규모 과징금 부과 가능성이라는 실질적 악재가 상단을 압박하는 혼조 국면이다.,Y,,▲ 상승,65.0,인도 사법 리스크,"인도 경쟁당국(CCI)이 애플의 인앱 결제 강제 혐의와 관련해 최대 380억 달러 규모의 과징금 부과를 위한 최종 청문회를 5월로 앞당기며 사법 리스크가 본격화되었습니다. 애플의 재무 데이터 제출 거부로 당국과의 갈등이 심화되었으며, 실제 대규모 벌금 부과 시 글로벌 수익성에 타격이 불가피할 전망입니다.",실질 악재,gemini-3-flash-preview,90.0,50.0,65.0,한 모델이 관망 또는 약한 신호를 제시하여 중간 수준으로 반영함
2026-04-21,GOOGL,GOOGL,gemini-2.5-flash,▲ 상승,78,AI 및 클라우드 성장,실질 호재,"알파벳은 Gemini AI 모델의 성공적인 통합과 Google Cloud의 견고한 성장으로 AI 리더십을 강화하고 있으며, 이는 기업 채택과 참여를 증가시키고 있다. 그러나 AI 인프라에 대한 대규모 투자로 인해 2026년에는 현금 흐름과 마진에 압박이 예상된다.","zacks.com, bydfi.com, investing.com",유사패턴 강세,강세,"알파벳의 AI 리더십 강화 및 클라우드 사업 성장이 실질 호재로 작용하며 주가가 주요 이동평균선을 상회하고 있고, 과거 유사 패턴 또한 상승을 예측하여 단기 상승 가능성이 높다.",Y,,gemini-3-flash-preview,▲ 상승,82.0,AI 클라우드 수익화,실질 호재,"구글 클라우드 부문이 AI 인프라 수요 확대에 힘입어 가파른 매출 성장세를 기록 중이며, 제미나이(Gemini) 기반 검색 고도화로 광고 수익 모델이 강화되고 있습니다.",,유사패턴 강세,혼조,이평선은 역배열 상태이나 현재가가 이를 강력히 상회하며 실질적인 AI 수익성 개선 뉴스가 뒷받침되고 있어 단기적 추세 상승 가능성이 높다.,Y,,▲ 상승,87.0,AI 및 클라우드 성장,"알파벳은 Gemini AI 모델의 성공적인 통합과 Google Cloud의 견고한 성장으로 AI 리더십을 강화하고 있으며, 이는 기업 채택과 참여를 증가시키고 있다. 그러나 AI 인프라에 대한 대규모 투자로 인해 2026년에는 현금 흐름과 마진에 압박이 예상된다.",실질 호재,gemini-2.5-flash,95.0,100.0,100.0,두 모델의 방향성이 일치하여 종합 신뢰도를 높게 반영함
2026-04-21,삼진제약,000520,gemini-2.5-flash,▲ 상승,80,신약 개발,실질 호재,"삼진제약은 산업통상자원부의 '월드클래스 플러스 프로젝트'에 선정되어 신약 파이프라인(SJN314, ADC 플랫폼)의 사업화 가능성을 인정받았으며, 1~2년 내 기술 이전을 목표로 하고 있다.","chosun.com, dailypharm.com, ttlnews.com",유사패턴 강세,약세,신약 파이프라인의 사업화 가능성을 인정받은 '월드클래스 플러스 프로젝트' 선정 뉴스가 과거 유사 패턴의 상승 기조와 맞물려 단기 주가 상승 모멘텀으로 작용할 가능성이 크다.,Y,,gemini-3-flash-preview,━ 관망,62.0,사업 다각화,실질 호재,"삼진제약은 피부미용 및 의료기기 분야로의 사업 영역 확장을 위해 신제품 라인업을 강화하고 있으며, 최근 동남아 지역 수출 계약 체결을 통해 내수 중심의 매출 구조를 성공적으로 다각화하고 있습니다.",,유사패턴 강세,약세,실질적인 수출 호재와 긍정적인 과거 패턴이 존재하나 현재 차트가 역배열 상태이며 20일 이평선 돌파에 실패하여 기술적 추세 전환의 확인이 선행되어야 한다.,Y,,▲ 상승,71.0,신약 개발,"삼진제약은 산업통상자원부의 '월드클래스 플러스 프로젝트'에 선정되어 신약 파이프라인(SJN314, ADC 플랫폼)의 사업화 가능성을 인정받았으며, 1~2년 내 기술 이전을 목표로 하고 있다.",실질 호재,gemini-2.5-flash,90.0,50.0,100.0,한 모델이 관망 또는 약한 신호를 제시하여 중간 수준으로 반영함
